Titulo,Empresa,Local,Data,Categoria
Coordenação Loja,Century 21 Compra Certa,Braga,12-9-2024,Lojas / Comércio / Balcão
Precisa-se candidatos para funções administrativas / Office Manager,Solblik Soluções LDA,Lisboa,12-9-2024,Administração / Secretariado
Gestor/a de Clientes  SEM Experiência e com Formação Gratuita,Century21 Arquitectos,Porto,12-9-2024,Comercial / Vendas
Oficial Electricista (M/F),Gasodata Unipessoal Lda,Lisboa,12-9-2024,Serviços Técnicos
OPERADORA DE CALL CENTER -  Entrada imediata,Increase Podium Lda,Lisboa,12-9-2024,Administração / Secretariado
Técnico de Farmácia,Wealtpharma unip lda,Faro,12-9-2024,Farmácia / Biotecnologia
Procuramos Educadora de Infância,"Cores da infância, lda",Lisboa,12-9-2024,Educação / Formação
Comercial,BodyConcept Sacavém,Lisboa,12-9-2024,Beleza / Moda / Bem Estar
"Novos colaboradores para velaria , costureiras, estofador, moldes corte  e técnico de montagem.","Dune Sailmakers Portugal, Lda.",Faro,12-9-2024,Serviços Técnicos
Tratorista Agricola,Blazquez Agricola LDA,Evora,12-9-2024,Agricultura / Florestas / Pescas
Diretor Comercial ( M/F ) com equipa - salário base + comissões de desempenho,Tatica deslumbrante lda,Lisboa,12-9-2024,Imobiliário
Fisioterapeuta para a Suíça,Physiothérapie Cuennet JMC Sarl,Outros Locais - Estrangeiro,12-9-2024,Saúde / Medicina / Enfermagem
Vendedor / Repositor / apoio Armazém (Sintra),"Epopeia Design Unipessoal, Lda",Lisboa,12-9-2024,Comercial / Vendas
Precisa-se Padeiro/Pasteleiro para Hamburgo / Alemanha,Sul Portugal Import GmbH,Outros Locais - Estrangeiro,12-9-2024,Restauração / Bares / Pastelarias
Administrativa (o),EUROBARON LDA,Porto,12-9-2024,Administração / Secretariado
"Diretor(a) de obra. Empreiteiro Geral, Engenheiro Civil","G.NEW BY ALEXANDRA GIL, LDA",Lisboa,12-9-2024,Engenharia ( Civil )
"Coordenador ( a ) / Responsável - Tabacarias, Jogos Sta Casa e Cafetarias - Faro",Menu Dourado - Lda,Faro,12-9-2024,Hotelaria / Turismo
Técnico Mecatronica Automovel - Delegado Zona Sul/Centro,"TEXA IBÉRICA DIAGNOSIS, S.A.",Lisboa,12-9-2024,Conservação / Manutenção / Técnica
